Time,Data
2023-09-26T12:36:00,432.0
2023-09-26T12:38:00,403.0
2023-09-26T12:40:00,392.0
2023-09-26T12:42:00,417.0
2023-09-26T12:44:00,1160.0
2023-09-26T12:46:00,369.0
2023-09-26T12:48:00,286.0
2023-09-26T12:50:00,267.2
2023-09-26T12:52:00,301.0
2023-09-26T12:54:00,442.0
2023-09-26T12:56:00,811.0
2023-09-26T12:58:00,542.0
2023-09-26T13:00:00,404.0
2023-09-26T13:02:00,340.4
2023-09-26T13:04:00,283.0
2023-09-26T13:06:00,198.3
2023-09-26T13:08:00,131.0
2023-09-26T13:10:00,77.9
2023-09-26T13:12:00,74.1
2023-09-26T13:14:00,144.2
2023-09-26T13:16:00,282.4
2023-09-26T13:18:00,558.0
2023-09-26T13:20:00,768.4
2023-09-26T13:22:00,547.0
2023-09-26T13:24:00,242.1
2023-09-26T13:26:00,189.1
2023-09-26T13:28:00,165.3
2023-09-26T13:30:00,160.0
2023-09-26T13:32:00,156.0
2023-09-26T13:34:00,149.2
2023-09-26T13:36:00,145.1
2023-09-26T13:38:00,138.0
2023-09-26T13:40:00,131.0
2023-09-26T13:42:00,132.0
2023-09-26T13:44:00,139.0
2023-09-26T13:46:00,146.0
2023-09-26T13:48:00,150.0
2023-09-26T13:50:00,155.0
2023-09-26T13:52:00,158.0
2023-09-26T13:54:00,162.0
2023-09-26T13:56:00,166.1
2023-09-26T13:58:00,171.0
2023-09-26T14:00:00,178.4
2023-09-26T14:02:00,186.2
2023-09-26T14:04:00,191.2
2023-09-26T14:06:00,197.3
2023-09-26T14:08:00,204.0
2023-09-26T14:10:00,213.0
2023-09-26T14:12:00,225.1
2023-09-26T14:14:00,241.0
2023-09-26T14:16:00,251.0
2023-09-26T14:18:00,263.0
2023-09-26T14:20:00,275.2
2023-09-26T14:22:00,289.0
2023-09-26T14:24:00,298.3
2023-09-26T14:26:00,314.3
2023-09-26T14:28:00,333.2
2023-09-26T14:30:00,346.2
2023-09-26T14:32:00,383.0
2023-09-26T14:34:00,460.0
2023-09-26T14:36:00,506.0
2023-09-26T14:38:00,525.3
2023-09-26T14:40:00,522.3
2023-09-26T14:42:00,509.2
2023-09-26T14:44:00,560.1
