Device: DAQ 4
Serial Number: 2135C5F
Channel Count: 7
Sample Count: 3986
Start Time: 8/25/2023 10:24:33 AM
Scan Rate: 1
Sample,Date/Time,Engine Inlet Left (°C),TC15 (°C),TESS Out (°C),Engine Exhaust (°C),Engine Inlet Right (°C),TC18 (°C),TESS In (°C)
0,8/25/2023 10:24:33 AM,44.836,29.047,29.252,54.318,34.002,29.538,28.192
1,8/25/2023 10:24:34 AM,45.372,29.091,29.208,54.361,34.017,29.509,28.221
2,8/25/2023 10:24:35 AM,45.264,29.084,29.231,54.137,33.789,29.647,28.095
3,8/25/2023 10:24:36 AM,45.250,29.084,29.216,54.122,33.365,29.633,28.228
4,8/25/2023 10:24:37 AM,45.113,29.093,29.210,54.079,33.365,29.706,28.228
5,8/25/2023 10:24:38 AM,44.875,28.998,29.130,53.993,33.042,29.500,28.184
6,8/25/2023 10:24:39 AM,44.564,29.066,29.197,53.762,32.896,29.750,28.242
7,8/25/2023 10:24:40 AM,44.535,29.095,29.197,53.647,33.394,29.633,28.110
8,8/25/2023 10:24:41 AM,44.448,29.080,29.138,53.618,33.013,29.721,28.169
9,8/25/2023 10:24:42 AM,44.579,29.036,29.124,53.503,32.837,29.559,28.228
10,8/25/2023 10:24:43 AM,44.390,29.007,29.124,53.423,33.019,29.609,28.102
11,8/25/2023 10:24:44 AM,44.550,29.007,29.109,53.501,33.260,29.616,28.270
12,8/25/2023 10:24:45 AM,44.252,29.042,29.159,53.400,33.158,29.513,28.167
13,8/25/2023 10:24:46 AM,44.187,28.977,29.109,53.299,32.791,29.616,28.137
14,8/25/2023 10:24:47 AM,44.158,29.066,29.153,53.198,32.703,29.675,28.034
15,8/25/2023 10:24:48 AM,44.129,29.110,29.065,53.118,33.413,29.637,28.144
16,8/25/2023 10:24:49 AM,44.237,28.998,29.100,53.052,33.199,29.658,28.150
17,8/25/2023 10:24:50 AM,44.055,29.063,29.092,53.023,33.492,29.672,28.091
18,8/25/2023 10:24:51 AM,44.278,29.026,29.172,52.980,33.273,29.672,28.135
19,8/25/2023 10:24:52 AM,44.299,29.105,29.193,52.894,33.068,29.614,28.121
20,8/25/2023 10:24:53 AM,44.262,29.068,29.170,52.879,33.097,29.584,28.209
21,8/25/2023 10:24:54 AM,44.204,28.979,29.126,52.729,33.091,29.622,28.100
22,8/25/2023 10:24:55 AM,44.218,29.024,29.199,52.636,33.275,29.763,28.167
23,8/25/2023 10:24:56 AM,44.326,29.059,29.220,52.578,33.377,29.586,28.123
24,8/25/2023 10:24:57 AM,43.999,29.183,29.241,52.607,34.007,29.542,28.137
25,8/25/2023 10:24:58 AM,42.916,29.057,29.189,52.506,34.987,29.675,28.240
26,8/25/2023 10:24:59 AM,42.408,29.116,29.130,52.370,34.352,29.551,28.087
27,8/25/2023 10:25:00 AM,42.705,29.063,29.210,52.385,32.976,29.639,28.087
28,8/25/2023 10:25:01 AM,42.792,29.049,29.224,52.255,33.547,29.668,28.057
29,8/25/2023 10:25:02 AM,42.929,29.070,29.186,52.247,33.597,29.616,28.137
30,8/25/2023 10:25:03 AM,43.713,29.084,29.289,52.189,33.377,29.616,28.152
31,8/25/2023 10:25:04 AM,44.061,29.055,29.231,52.232,33.333,29.572,28.137
32,8/25/2023 10:25:05 AM,44.111,29.002,29.325,52.059,33.436,29.528,28.152
33,8/25/2023 10:25:06 AM,44.067,29.150,29.266,52.002,33.319,29.660,28.137
34,8/25/2023 10:25:07 AM,44.198,29.194,29.266,51.930,33.626,29.660,28.152
35,8/25/2023 10:25:08 AM,44.349,29.053,29.214,51.923,33.268,29.580,28.234
36,8/25/2023 10:25:09 AM,44.500,29.133,29.249,51.808,33.254,29.609,28.219
37,8/25/2023 10:25:10 AM,44.378,29.023,29.243,51.816,32.603,29.618,28.154
38,8/25/2023 10:25:11 AM,44.239,29.074,29.220,51.600,32.867,29.618,28.022
39,8/25/2023 10:25:12 AM,43.696,29.097,29.228,51.487,32.796,29.693,28.097
40,8/25/2023 10:25:13 AM,42.898,29.038,29.126,51.544,32.605,29.502,28.097
41,8/25/2023 10:25:14 AM,43.028,29.126,29.228,51.515,33.030,29.532,28.156
42,8/25/2023 10:25:15 AM,43.501,29.105,29.266,51.423,32.833,29.511,28.135
43,8/25/2023 10:25:16 AM,43.690,28.988,29.252,51.416,32.680,29.549,28.144
44,8/25/2023 10:25:17 AM,43.690,29.120,29.178,51.287,32.431,29.622,28.041
45,8/25/2023 10:25:18 AM,43.742,29.011,29.231,51.223,32.674,29.572,28.078
46,8/25/2023 10:25:19 AM,43.634,29.093,29.224,51.173,33.122,29.565,28.087
47,8/25/2023 10:25:20 AM,43.387,29.078,29.165,51.122,32.410,29.660,28.123
48,8/25/2023 10:25:21 AM,43.265,29.013,29.247,50.992,32.220,29.601,28.093
49,8/25/2023 10:25:22 AM,43.259,29.036,29.226,50.984,32.387,29.651,28.232
50,8/25/2023 10:25:23 AM,43.157,29.036,29.123,50.847,32.205,29.513,28.108
51,8/25/2023 10:25:24 AM,43.325,29.030,29.161,50.798,32.404,29.595,28.102
52,8/25/2023 10:25:25 AM,43.812,29.097,29.126,50.769,32.521,29.565,28.043
53,8/25/2023 10:25:26 AM,44.038,28.988,29.090,50.697,32.653,29.595,28.131
54,8/25/2023 10:25:27 AM,43.937,29.099,29.098,50.697,32.682,29.609,28.028
55,8/25/2023 10:25:28 AM,43.945,29.129,29.084,50.544,32.894,29.572,28.123
56,8/25/2023 10:25:29 AM,43.794,28.990,29.151,50.602,33.304,29.593,28.055
57,8/25/2023 10:25:30 AM,43.758,28.954,29.159,50.594,33.574,29.534,27.982
58,8/25/2023 10:25:31 AM,43.607,29.066,29.124,50.464,33.881,29.593,28.085
59,8/25/2023 10:25:32 AM,43.311,29.045,29.029,50.623,34.613,29.578,28.041
60,8/25/2023 10:25:33 AM,43.238,29.045,29.000,50.472,34.241,29.616,28.108
61,8/25/2023 10:25:34 AM,41.823,29.126,29.023,50.299,34.519,29.675,28.108
62,8/25/2023 10:25:35 AM,41.212,29.038,29.023,50.371,34.197,29.557,27.931
63,8/25/2023 10:25:36 AM,40.936,29.097,29.023,50.342,34.197,29.645,28.064
64,8/25/2023 10:25:37 AM,40.718,28.965,29.082,50.183,33.275,29.498,27.975
65,8/25/2023 10:25:38 AM,40.412,28.994,29.155,50.148,32.829,29.654,28.043
66,8/25/2023 10:25:39 AM,41.314,28.965,29.082,50.221,32.521,29.507,28.087
67,8/25/2023 10:25:40 AM,41.736,28.965,29.082,50.070,33.233,29.618,28.139
68,8/25/2023 10:25:41 AM,42.703,29.047,29.031,49.954,33.262,29.515,28.051
69,8/25/2023 10:25:42 AM,43.138,28.973,29.046,49.833,32.685,29.670,28.074
70,8/25/2023 10:25:43 AM,43.255,29.032,29.016,49.789,32.626,29.626,28.074
71,8/25/2023 10:25:44 AM,43.400,28.944,29.046,49.781,32.940,29.544,28.007
72,8/25/2023 10:25:45 AM,42.935,28.929,29.075,49.680,32.647,29.515,28.051
73,8/25/2023 10:25:46 AM,42.775,29.032,29.061,49.463,32.442,29.647,28.110
74,8/25/2023 10:25:47 AM,43.138,29.003,29.016,49.527,32.126,29.654,28.175
75,8/25/2023 10:25:48 AM,43.196,29.017,29.016,49.534,32.103,29.689,28.181
76,8/25/2023 10:25:49 AM,43.414,29.061,29.075,49.432,32.132,29.748,28.078
77,8/25/2023 10:25:50 AM,43.371,29.017,29.061,49.309,31.918,29.710,28.055
78,8/25/2023 10:25:51 AM,43.203,28.994,29.067,49.271,31.793,29.628,28.209
79,8/25/2023 10:25:52 AM,43.435,29.024,29.126,49.119,31.682,29.679,28.200
80,8/25/2023 10:25:53 AM,43.188,29.082,29.023,49.183,31.922,29.670,28.118
81,8/25/2023 10:25:54 AM,43.304,29.097,29.037,49.177,31.989,29.635,28.039
82,8/25/2023 10:25:55 AM,43.391,29.053,28.993,49.110,32.348,29.700,28.148
83,8/25/2023 10:25:56 AM,43.659,29.030,28.955,50.229,40.021,29.735,28.066
84,8/25/2023 10:25:57 AM,43.528,28.971,28.970,51.802,573.665,29.677,28.095
85,8/25/2023 10:25:58 AM,610.290,29.015,29.088,140.844,825.148,29.597,28.118
86,8/25/2023 10:25:59 AM,1094.988,29.021,29.109,179.628,1063.196,29.641,28.074
87,8/25/2023 10:26:00 AM,1164.850,28.866,28.983,245.321,1077.612,29.612,28.001
88,8/25/2023 10:26:01 AM,1169.809,28.975,29.107,268.238,1129.518,29.649,28.039
89,8/25/2023 10:26:02 AM,1187.078,28.952,29.084,299.423,1119.196,29.649,28.039
90,8/25/2023 10:26:03 AM,1203.514,28.958,29.119,320.603,1086.782,29.664,28.053
91,8/25/2023 10:26:04 AM,1194.055,29.068,29.140,329.348,1138.063,29.700,28.030
92,8/25/2023 10:26:05 AM,1181.385,29.074,29.161,341.456,1117.659,29.591,28.156
93,8/25/2023 10:26:06 AM,1176.786,29.147,29.147,346.523,1016.930,29.591,28.068
94,8/25/2023 10:26:07 AM,1184.783,29.007,29.212,355.452,1163.636,29.649,28.039
95,8/25/2023 10:26:08 AM,1168.801,29.042,29.189,365.163,1165.440,29.576,28.024
96,8/25/2023 10:26:09 AM,1148.883,28.998,29.189,369.162,1114.350,29.782,28.053
97,8/25/2023 10:26:10 AM,1195.021,29.131,29.159,372.898,1108.462,29.540,28.091
98,8/25/2023 10:26:11 AM,1223.439,29.072,29.174,373.460,1007.485,29.637,28.129
99,8/25/2023 10:26:12 AM,1212.847,29.057,29.262,377.421,1089.696,29.601,28.226
100,8/25/2023 10:26:13 AM,1162.451,29.087,29.233,383.026,1148.633,29.733,28.108
101,8/25/2023 10:26:14 AM,1129.918,28.998,29.233,385.865,1080.238,29.595,28.249
102,8/25/2023 10:26:15 AM,1111.046,29.087,29.233,389.809,1108.000,29.595,28.028
103,8/25/2023 10:26:16 AM,1085.933,28.998,29.189,391.641,1083.441,29.559,28.022
104,8/25/2023 10:26:17 AM,1082.110,29.116,29.174,393.344,1088.373,29.582,28.133
105,8/25/2023 10:26:18 AM,1092.448,29.057,29.262,396.649,1109.439,29.567,28.104
106,8/25/2023 10:26:19 AM,1089.887,29.101,29.277,397.871,1148.158,29.502,28.274
107,8/25/2023 10:26:20 AM,1082.595,29.101,29.291,403.148,1121.337,29.546,28.127
108,8/25/2023 10:26:21 AM,1106.489,29.007,29.197,405.772,1116.377,29.620,28.127
109,8/25/2023 10:26:22 AM,1108.409,28.897,29.338,409.662,1101.291,29.502,28.112
110,8/25/2023 10:26:23 AM,1110.851,29.024,29.273,411.657,1158.529,29.570,28.076
111,8/25/2023 10:26:24 AM,1137.315,29.003,29.222,412.311,1135.411,29.651,28.085
112,8/25/2023 10:26:25 AM,1165.091,28.981,29.245,415.128,1142.194,29.578,28.114
113,8/25/2023 10:26:26 AM,1157.763,29.034,29.195,414.691,1125.720,29.563,27.996
114,8/25/2023 10:26:27 AM,1143.011,28.984,29.130,416.365,1127.516,29.563,27.996
115,8/25/2023 10:26:28 AM,1114.914,28.874,29.226,416.534,1096.224,29.607,28.100
116,8/25/2023 10:26:29 AM,1153.351,28.729,29.273,418.448,1135.363,29.622,28.041
117,8/25/2023 10:26:30 AM,1150.843,28.929,29.178,419.938,1146.702,29.651,28.232
118,8/25/2023 10:26:31 AM,1123.931,28.988,29.178,420.290,1144.079,29.681,28.011
119,8/25/2023 10:26:32 AM,1139.384,28.555,29.157,421.880,1173.721,29.828,28.247
120,8/25/2023 10:26:33 AM,1166.905,28.210,29.077,424.546,1150.876,29.704,28.093
121,8/25/2023 10:26:34 AM,1201.466,27.836,28.983,425.085,1174.335,29.813,28.085
122,8/25/2023 10:26:35 AM,1220.352,28.095,28.991,425.772,1174.416,29.784,28.158
123,8/25/2023 10:26:36 AM,1208.897,28.545,29.088,426.506,1148.992,29.681,28.085
124,8/25/2023 10:26:37 AM,1188.343,28.935,29.111,430.157,1179.190,29.769,28.041
125,8/25/2023 10:26:38 AM,1173.602,28.973,29.061,430.363,1192.203,29.792,28.211
126,8/25/2023 10:26:39 AM,1167.806,28.900,29.002,431.077,1174.699,29.851,28.078
127,8/25/2023 10:26:40 AM,1141.890,28.849,29.054,432.984,1177.670,29.683,28.057
128,8/25/2023 10:26:41 AM,1147.913,28.858,29.048,433.752,1154.189,29.698,28.087
129,8/25/2023 10:26:42 AM,1186.794,28.887,29.121,433.744,1215.966,29.733,28.034
130,8/25/2023 10:26:43 AM,1173.556,28.696,29.107,433.750,1182.933,29.857,28.070
131,8/25/2023 10:26:44 AM,1159.209,28.343,29.077,436.591,1220.347,29.828,28.188
132,8/25/2023 10:26:45 AM,1152.834,27.416,29.180,436.769,1183.793,29.710,28.026
133,8/25/2023 10:26:46 AM,1131.915,27.386,29.077,437.970,1208.793,29.717,28.018
134,8/25/2023 10:26:47 AM,1117.477,27.901,29.107,437.939,1182.081,29.775,27.988
135,8/25/2023 10:26:48 AM,1123.187,27.872,29.107,437.287,1147.037,29.635,28.009
136,8/25/2023 10:26:49 AM,1137.987,26.944,28.901,436.085,1137.999,29.509,28.045
137,8/25/2023 10:26:50 AM,1116.575,26.635,28.886,436.939,1181.233,29.654,28.013
138,8/25/2023 10:26:51 AM,1099.367,26.538,28.878,436.390,1178.576,29.654,28.087
139,8/25/2023 10:26:52 AM,1102.115,26.706,28.825,435.979,1144.651,29.647,28.066
140,8/25/2023 10:26:53 AM,1097.060,26.751,28.869,436.838,1163.537,29.559,28.051
141,8/25/2023 10:26:54 AM,1091.862,26.654,28.905,436.380,1138.172,29.595,27.954
142,8/25/2023 10:26:55 AM,1096.327,26.610,28.846,435.931,1165.525,29.551,27.940
143,8/25/2023 10:26:56 AM,1098.521,26.866,28.705,437.594,1147.002,29.647,27.875
144,8/25/2023 10:26:57 AM,1085.378,26.814,28.844,441.028,1171.389,29.471,27.860
145,8/25/2023 10:26:58 AM,1112.247,26.849,28.733,442.884,1206.538,29.618,27.889
146,8/25/2023 10:26:59 AM,1112.444,26.399,28.769,444.798,1200.841,29.597,27.795
147,8/25/2023 10:27:00 AM,1114.745,26.700,28.848,446.083,1191.509,29.546,27.818
148,8/25/2023 10:27:01 AM,1109.162,27.157,28.892,446.524,1170.430,29.641,27.854
149,8/25/2023 10:27:02 AM,1100.469,27.098,28.848,446.604,1172.853,29.553,27.898
150,8/25/2023 10:27:03 AM,1109.454,26.942,28.796,446.604,1134.667,29.656,27.927
151,8/25/2023 10:27:04 AM,1128.650,26.662,28.855,447.301,1162.799,29.532,27.862
152,8/25/2023 10:27:05 AM,1109.935,26.167,28.934,448.032,1122.448,29.532,27.803
153,8/25/2023 10:27:06 AM,1111.942,26.565,28.787,449.209,1126.719,29.635,27.877
154,8/25/2023 10:27:07 AM,1116.975,26.978,28.905,449.981,1140.786,29.576,27.862
155,8/25/2023 10:27:08 AM,1117.150,26.993,28.890,450.888,1167.325,29.620,27.847
156,8/25/2023 10:27:09 AM,1123.937,27.066,28.964,452.180,1198.418,29.488,27.936
157,8/25/2023 10:27:10 AM,1108.338,26.595,28.934,452.224,1182.039,29.546,27.965
158,8/25/2023 10:27:11 AM,1135.032,26.586,29.058,454.514,1162.824,29.511,27.900
159,8/25/2023 10:27:12 AM,1140.250,26.645,28.926,454.965,1182.584,29.628,27.885
160,8/25/2023 10:27:13 AM,1170.263,26.681,28.991,456.967,1176.995,29.584,27.929
161,8/25/2023 10:27:14 AM,1181.182,26.224,29.050,458.836,1178.305,29.511,28.018
162,8/25/2023 10:27:15 AM,1142.877,26.283,29.065,458.896,1151.797,29.578,27.982
163,8/25/2023 10:27:16 AM,1160.939,26.348,29.042,460.168,1176.042,29.557,28.049
164,8/25/2023 10:27:17 AM,1134.552,26.363,29.071,460.918,1177.029,29.498,28.049
165,8/25/2023 10:27:18 AM,1172.143,26.584,29.144,461.588,1183.958,29.448,27.969
166,8/25/2023 10:27:19 AM,1210.222,26.717,29.144,461.415,1198.562,29.559,28.022
167,8/25/2023 10:27:20 AM,1222.220,26.791,29.130,461.287,1183.351,29.471,28.022
168,8/25/2023 10:27:21 AM,1179.189,26.843,29.153,460.080,1193.991,29.479,27.957
169,8/25/2023 10:27:22 AM,1120.571,27.359,29.315,461.331,1178.345,29.591,28.039
170,8/25/2023 10:27:23 AM,1106.498,27.750,29.411,463.146,1172.806,29.452,27.914
171,8/25/2023 10:27:24 AM,1176.883,28.059,29.367,464.151,1131.254,29.490,27.967
172,8/25/2023 10:27:25 AM,1201.429,27.964,29.346,462.454,760.296,29.549,27.908
173,8/25/2023 10:27:26 AM,876.885,27.870,29.443,403.157,501.633,29.570,27.988
174,8/25/2023 10:27:27 AM,667.859,27.996,29.451,360.282,262.748,29.519,28.041
175,8/25/2023 10:27:28 AM,411.096,28.107,29.445,298.217,204.435,29.490,28.100
176,8/25/2023 10:27:29 AM,271.121,28.204,29.497,276.744,144.139,29.431,27.967
177,8/25/2023 10:27:30 AM,223.129,28.257,29.447,244.943,113.693,29.498,27.902
178,8/25/2023 10:27:31 AM,172.094,28.339,29.455,224.506,101.223,29.395,28.078
179,8/25/2023 10:27:32 AM,157.558,28.406,29.434,217.170,84.383,29.469,27.961
180,8/25/2023 10:27:33 AM,133.822,28.326,29.487,206.561,80.028,29.454,28.020
181,8/25/2023 10:27:34 AM,113.985,28.341,29.516,202.692,71.624,29.542,28.108
182,8/25/2023 10:27:35 AM,106.714,28.431,29.533,196.674,66.682,29.528,27.990
183,8/25/2023 10:27:36 AM,99.165,28.431,29.548,191.874,65.966,29.542,28.020
184,8/25/2023 10:27:37 AM,98.929,28.425,29.512,189.706,63.737,29.521,27.954
185,8/25/2023 10:27:38 AM,98.030,28.536,29.520,186.604,64.641,29.536,28.013
186,8/25/2023 10:27:39 AM,98.916,28.294,29.470,184.985,67.986,29.425,27.931
187,8/25/2023 10:27:40 AM,99.810,28.206,29.485,182.719,66.467,29.439,27.872
188,8/25/2023 10:27:41 AM,100.207,27.994,29.508,181.019,68.158,29.498,27.931
189,8/25/2023 10:27:42 AM,97.982,28.017,29.472,180.020,64.374,29.498,27.975
190,8/25/2023 10:27:43 AM,94.279,28.114,29.422,177.918,63.485,29.542,27.946
191,8/25/2023 10:27:44 AM,90.968,28.137,29.460,176.905,62.280,29.601,27.917
192,8/25/2023 10:27:45 AM,83.846,28.173,29.539,175.972,63.649,29.475,27.908
193,8/25/2023 10:27:46 AM,83.774,28.276,29.466,173.916,60.966,29.505,27.952
194,8/25/2023 10:27:47 AM,80.444,28.225,29.504,172.909,57.452,29.540,27.856
195,8/25/2023 10:27:48 AM,77.938,28.372,29.548,171.262,56.955,29.517,27.965
196,8/25/2023 10:27:49 AM,75.390,28.461,29.592,170.214,56.748,29.570,28.032
197,8/25/2023 10:27:50 AM,70.492,28.372,29.518,168.463,60.346,29.561,27.980
198,8/25/2023 10:27:51 AM,67.103,28.540,29.583,167.630,60.849,29.591,27.965
199,8/25/2023 10:27:52 AM,65.418,28.606,29.678,166.267,60.511,29.567,28.045
200,8/25/2023 10:27:53 AM,67.474,28.597,29.655,164.756,60.359,29.442,27.992
201,8/25/2023 10:27:54 AM,69.629,28.500,29.690,164.004,66.332,29.595,28.087
202,8/25/2023 10:27:55 AM,77.333,28.486,29.779,162.176,67.493,29.639,28.072
203,8/25/2023 10:27:56 AM,79.352,28.677,29.646,161.662,63.844,29.601,28.020
204,8/25/2023 10:27:57 AM,86.321,28.580,29.682,160.771,61.175,29.454,28.020
205,8/25/2023 10:27:58 AM,92.398,28.513,29.703,159.731,59.682,29.616,28.005
206,8/25/2023 10:27:59 AM,92.893,28.608,29.739,159.218,56.957,29.593,28.055
207,8/25/2023 10:28:00 AM,92.511,28.599,29.686,158.253,55.662,29.549,28.011
208,8/25/2023 10:28:01 AM,93.776,28.658,29.701,157.725,54.791,29.614,28.179
209,8/25/2023 10:28:02 AM,94.127,28.723,29.604,156.478,55.410,29.511,28.047
210,8/25/2023 10:28:03 AM,90.995,28.679,29.707,154.936,55.093,29.599,28.018
211,8/25/2023 10:28:04 AM,91.604,28.671,29.655,154.165,57.869,29.599,28.062
212,8/25/2023 10:28:05 AM,87.514,28.656,29.684,153.083,56.474,29.628,28.047
213,8/25/2023 10:28:06 AM,85.254,28.677,29.749,152.757,62.407,29.555,28.018
214,8/25/2023 10:28:07 AM,78.728,28.727,29.638,151.987,65.634,29.570,28.018
215,8/25/2023 10:28:08 AM,75.154,28.719,29.747,150.544,58.970,29.593,28.085
216,8/25/2023 10:28:09 AM,77.809,28.711,29.621,149.827,53.511,29.675,28.093
217,8/25/2023 10:28:10 AM,74.416,28.813,29.621,148.475,52.020,29.639,28.131
218,8/25/2023 10:28:11 AM,70.857,28.805,29.672,147.824,50.144,29.565,27.940
219,8/25/2023 10:28:12 AM,72.145,28.849,29.672,146.627,50.000,29.580,27.999
220,8/25/2023 10:28:13 AM,76.247,28.841,29.693,145.616,48.577,29.574,28.139
221,8/25/2023 10:28:14 AM,78.208,28.841,29.678,145.078,46.995,29.479,27.986
222,8/25/2023 10:28:15 AM,84.403,28.862,29.699,143.964,50.717,29.532,27.950
223,8/25/2023 10:28:16 AM,87.198,28.965,29.699,143.618,51.245,29.599,28.003
224,8/25/2023 10:28:17 AM,88.297,28.797,29.678,142.741,52.018,29.578,28.041
225,8/25/2023 10:28:18 AM,86.532,28.870,29.663,142.284,54.367,29.578,27.967
226,8/25/2023 10:28:19 AM,80.350,28.893,29.627,141.090,55.259,29.505,27.938
227,8/25/2023 10:28:20 AM,80.565,28.982,29.642,140.058,61.167,29.578,27.996
228,8/25/2023 10:28:21 AM,80.172,28.916,29.739,139.728,65.636,29.542,28.034
229,8/25/2023 10:28:22 AM,77.809,28.858,29.709,139.023,61.665,29.500,27.948
230,8/25/2023 10:28:23 AM,74.903,28.975,29.695,138.611,64.190,29.559,28.022
231,8/25/2023 10:28:24 AM,68.352,28.940,29.732,137.728,67.401,29.486,27.992
232,8/25/2023 10:28:25 AM,67.543,28.860,29.814,136.831,64.706,29.471,28.095
233,8/25/2023 10:28:26 AM,70.245,28.809,29.764,136.324,61.558,29.494,28.001
234,8/25/2023 10:28:27 AM,72.980,28.927,29.867,135.266,62.319,29.509,27.927
235,8/25/2023 10:28:28 AM,71.929,28.906,29.860,134.657,59.671,29.444,27.891
236,8/25/2023 10:28:29 AM,73.604,28.921,29.816,133.703,57.027,29.591,28.127
237,8/25/2023 10:28:30 AM,72.996,28.914,29.898,132.830,56.532,29.481,27.973
238,8/25/2023 10:28:31 AM,74.199,28.811,29.869,132.419,54.143,29.511,28.076
239,8/25/2023 10:28:32 AM,73.992,28.805,29.760,131.809,54.898,29.591,27.994
240,8/25/2023 10:28:33 AM,71.675,28.851,29.777,131.011,55.453,29.570,27.973
241,8/25/2023 10:28:34 AM,70.386,28.807,29.718,130.345,53.013,29.549,28.026
242,8/25/2023 10:28:35 AM,73.144,28.874,29.711,129.920,49.839,29.446,27.982
243,8/25/2023 10:28:36 AM,72.242,28.845,29.756,128.857,49.888,29.570,28.062
244,8/25/2023 10:28:37 AM,69.715,28.868,29.735,128.140,51.072,29.540,28.106
245,8/25/2023 10:28:38 AM,69.107,28.832,29.816,127.693,48.175,29.473,28.127
246,8/25/2023 10:28:39 AM,65.332,28.841,29.795,126.984,47.503,29.540,28.047
247,8/25/2023 10:28:40 AM,63.812,28.826,29.781,126.756,54.019,29.444,28.186
248,8/25/2023 10:28:41 AM,59.859,28.849,29.789,126.499,56.415,29.465,28.163
249,8/25/2023 10:28:42 AM,60.628,28.843,29.886,126.104,54.760,29.538,28.148
250,8/25/2023 10:28:43 AM,59.867,28.828,29.827,125.862,50.600,29.574,28.154
251,8/25/2023 10:28:44 AM,61.354,28.881,29.865,125.079,51.039,29.639,28.057
252,8/25/2023 10:28:45 AM,65.113,28.866,29.850,125.035,54.570,29.624,28.131
253,8/25/2023 10:28:46 AM,71.110,28.874,29.873,124.714,55.751,29.565,28.249
254,8/25/2023 10:28:47 AM,69.793,28.919,29.932,124.603,55.743,29.557,28.108
255,8/25/2023 10:28:48 AM,67.185,28.889,29.844,124.297,50.728,29.586,28.078
256,8/25/2023 10:28:49 AM,65.006,28.904,29.741,123.617,48.900,29.578,28.100
257,8/25/2023 10:28:50 AM,68.153,28.883,29.808,123.471,48.423,29.637,28.158
258,8/25/2023 10:28:51 AM,72.765,28.898,29.720,122.895,49.052,29.425,28.049
259,8/25/2023 10:28:52 AM,74.612,28.839,29.793,122.305,48.800,29.492,28.175
260,8/25/2023 10:28:53 AM,76.760,28.824,29.661,122.107,48.228,29.616,28.181
261,8/25/2023 10:28:54 AM,78.979,28.853,29.720,121.816,48.445,29.601,28.123
262,8/25/2023 10:28:55 AM,79.315,28.874,29.756,121.509,47.983,29.542,28.078
263,8/25/2023 10:28:56 AM,79.164,28.807,29.762,121.057,47.346,29.528,28.152
264,8/25/2023 10:28:57 AM,79.112,28.799,29.812,121.007,47.123,29.595,28.175
265,8/25/2023 10:28:58 AM,78.932,28.835,29.848,120.883,47.838,29.498,28.123
266,8/25/2023 10:28:59 AM,80.013,28.870,29.898,120.912,48.720,29.528,28.240
267,8/25/2023 10:29:00 AM,78.816,28.891,29.787,120.795,48.532,29.513,28.123
268,8/25/2023 10:29:01 AM,77.948,28.912,29.852,120.620,49.052,29.660,28.152
269,8/25/2023 10:29:02 AM,78.069,28.948,29.785,120.481,55.288,29.578,28.158
270,8/25/2023 10:29:03 AM,76.872,28.910,29.850,120.320,53.214,29.681,28.129
271,8/25/2023 10:29:04 AM,76.699,28.879,29.833,119.819,52.502,29.469,28.064
272,8/25/2023 10:29:05 AM,76.684,28.879,29.907,119.600,48.286,29.484,27.961
273,8/25/2023 10:29:06 AM,77.836,28.958,29.942,119.542,49.601,29.454,28.064
274,8/25/2023 10:29:07 AM,78.222,28.929,29.928,119.484,57.814,29.645,28.078
275,8/25/2023 10:29:08 AM,79.775,28.965,29.963,119.332,54.066,29.477,28.102
276,8/25/2023 10:29:09 AM,80.154,28.956,29.970,118.851,51.645,29.624,28.116
277,8/25/2023 10:29:10 AM,80.927,29.045,29.970,118.560,51.255,29.536,28.072
278,8/25/2023 10:29:11 AM,81.334,28.948,30.020,118.138,49.017,29.595,28.102
279,8/25/2023 10:29:12 AM,78.155,28.933,30.005,117.949,49.740,29.389,28.043
280,8/25/2023 10:29:13 AM,77.826,28.992,30.108,117.623,50.499,29.559,28.154
281,8/25/2023 10:29:14 AM,76.359,28.971,30.014,117.207,46.862,29.492,28.131
282,8/25/2023 10:29:15 AM,75.371,28.868,30.116,117.032,48.627,29.477,28.146
283,8/25/2023 10:29:16 AM,73.381,28.912,30.028,116.727,48.135,29.521,28.102
284,8/25/2023 10:29:17 AM,72.379,28.942,30.043,116.343,44.669,29.471,28.139
285,8/25/2023 10:29:18 AM,72.379,28.912,29.984,116.009,45.104,29.456,28.125
286,8/25/2023 10:29:19 AM,72.730,28.979,30.066,115.784,42.777,29.582,28.207
287,8/25/2023 10:29:20 AM,74.033,28.950,30.066,115.334,43.082,29.406,28.148
288,8/25/2023 10:29:21 AM,73.941,28.929,30.060,115.066,46.482,29.414,28.156
289,8/25/2023 10:29:22 AM,69.803,28.900,30.119,115.008,49.822,29.444,28.127
290,8/25/2023 10:29:23 AM,62.406,29.017,30.075,114.987,52.024,29.481,27.914
291,8/25/2023 10:29:24 AM,60.124,29.061,30.075,114.836,51.931,29.255,28.144
292,8/25/2023 10:29:25 AM,59.535,29.003,30.163,114.736,49.552,29.448,28.175
293,8/25/2023 10:29:26 AM,58.250,28.982,29.995,114.294,49.834,29.427,28.022
294,8/25/2023 10:29:27 AM,54.062,29.099,30.009,113.983,52.570,29.479,28.089
295,8/25/2023 10:29:28 AM,51.822,29.122,30.047,113.838,52.325,29.362,28.104
296,8/25/2023 10:29:29 AM,51.836,29.549,30.077,113.794,55.436,29.567,27.971
