Device: DAQ1
Serial Number: 2135CBB
Channel Count: 8
Sample Count: 26638
Start Time: 6/30/2023 8:49:18 AM
Scan Rate: 1
Sample,Date/Time,TC37 (°C),TC41 (°C),TC36 (°C),TC39 (°C),TC21 (°C),TC30 (°C),TC28 (°C),TC23 (°C)
0,6/30/2023 8:49:18 AM,23.419,31.816,28.383,30.352,29.259,29.107,27.394,28.519
1,6/30/2023 8:49:19 AM,9.209,31.904,28.427,30.411,29.186,29.166,27.349,28.519
2,6/30/2023 8:49:20 AM,9.702,31.889,28.604,30.352,29.209,29.307,27.446,28.439
3,6/30/2023 8:49:21 AM,27.911,31.927,28.450,30.272,29.194,29.424,27.417,28.571
4,6/30/2023 8:49:22 AM,15.693,31.904,28.442,30.425,29.156,29.563,27.408,28.533
5,6/30/2023 8:49:23 AM,25.073,31.948,28.398,30.322,29.200,29.724,27.394,28.430
6,6/30/2023 8:49:24 AM,27.623,31.918,28.501,30.352,29.215,29.857,27.452,28.519
7,6/30/2023 8:49:25 AM,10.493,32.021,28.457,30.381,29.186,29.813,27.364,28.519
8,6/30/2023 8:49:26 AM,30.300,32.021,28.574,30.455,29.133,29.687,27.312,28.496
9,6/30/2023 8:49:27 AM,33.760,31.992,28.530,30.381,29.125,29.678,27.391,28.590
10,6/30/2023 8:49:28 AM,13.094,31.983,28.537,30.490,29.139,29.987,27.421,28.517
11,6/30/2023 8:49:29 AM,22.035,31.998,28.625,30.476,29.139,30.090,27.583,28.502
12,6/30/2023 8:49:30 AM,6.840,32.086,28.522,30.505,29.116,30.859,27.692,28.538
13,6/30/2023 8:49:31 AM,28.445,32.151,28.558,30.599,29.196,31.188,27.949,28.529
14,6/30/2023 8:49:32 AM,16.538,32.136,28.602,30.658,29.114,31.341,28.485,28.550
15,6/30/2023 8:49:33 AM,10.714,32.092,28.469,30.614,29.253,30.981,28.653,28.439
16,6/30/2023 8:49:34 AM,8.550,32.239,28.528,30.599,29.194,31.069,29.873,28.527
17,6/30/2023 8:49:35 AM,24.384,32.231,28.564,30.782,29.165,30.864,30.504,28.601
18,6/30/2023 8:49:36 AM,15.965,32.377,28.534,30.826,29.347,30.635,30.599,28.563
19,6/30/2023 8:49:37 AM,27.384,32.471,28.541,30.817,29.245,30.591,31.729,28.563
20,6/30/2023 8:49:38 AM,11.927,32.448,28.606,30.868,29.251,30.715,31.735,28.510
21,6/30/2023 8:49:39 AM,28.891,32.624,28.547,31.000,29.310,30.964,31.295,28.569
22,6/30/2023 8:49:40 AM,10.561,32.718,28.495,31.021,29.236,31.126,30.664,28.554
23,6/30/2023 8:49:41 AM,23.788,32.886,28.574,31.203,29.354,30.935,30.400,28.569
24,6/30/2023 8:49:42 AM,25.124,33.112,28.669,31.283,29.236,31.566,29.915,28.584
25,6/30/2023 8:49:43 AM,8.370,33.221,28.661,31.421,29.266,31.346,29.812,28.569
26,6/30/2023 8:49:44 AM,3.803,33.300,28.652,31.501,29.272,31.631,29.539,28.620
27,6/30/2023 8:49:45 AM,21.174,33.564,28.682,31.545,29.381,32.751,29.207,28.508
28,6/30/2023 8:49:46 AM,21.018,33.877,28.585,31.771,29.293,32.810,29.149,28.699
29,6/30/2023 8:49:47 AM,27.781,34.360,28.688,31.800,29.205,32.414,28.722,28.626
