Time,Head Temperature Set-Point (C),Head Control Temperature (C),Head Limit Temperature (C),Coolant Inlet Temperature (C),Coolant Outlet Temperature (C),Back End Temperature (C),Ambient Temperature (C),PCB Temperature (C),Coolant Flow Rate (L/min),x-Axis Vibration Magnitude (g),y-Axis Vibration Magnitude (g),z-Axis Vibration Magnitude (g),Power (W),Voltage (V),Current (A),Frequency (Hz),Phase Angle (),Energy Generated (kWh),Engine Running,Engine Demand,Heat Source Enabled,Heat Source Running,Automatic Reset Flag,User Reset Flag,Service Reset Flag,Integrity Check Signal,Control State,Active Error Code,Automatic Reset Time (s),Fan Set-Point (rpm),Fan Speed (rpm),Fan Drive (%),ECU Software ID,VI Protection Software ID,Device Operating Time (h),Engine Running Time (h),Engine Starts,Engine Stops,Average Site Voltage (V),Average Running Voltage (V),External Modulation Signal (%),Heat Input Rate (s),Checksum Fail Count,Packet Count,Comments
19/04/2023  13:12:24,550.0,178.9,180.6,32.5,28.6,24.0,30.2,34.9,7.7,0.0,0.0,0.0,0,245.9,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,158,
19/04/2023  13:12:29,550.0,178.0,182.4,32.5,28.6,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,246.6,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,167,
19/04/2023  13:12:34,550.0,178.6,181.8,32.7,28.6,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,245.5,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,175,
19/04/2023  13:12:39,550.0,179.5,181.8,32.1,28.6,24.0,30.1,34.9,7.9,0.0,0.0,0.0,0,246.9,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,184,
19/04/2023  13:12:44,550.0,179.4,181.5,32.5,28.8,24.0,30.1,34.9,7.9,0.0,0.0,0.0,0,245.9,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,192,
19/04/2023  13:12:49,550.0,179.1,181.4,32.5,28.6,24.0,30.1,34.9,7.9,0.0,0.0,0.0,0,246.0,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,200,
19/04/2023  13:12:54,550.0,178.8,182.4,32.5,28.5,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,245.4,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,209,
19/04/2023  13:12:59,550.0,179.9,182.8,32.5,28.5,24.0,30.1,34.9,7.7,0.0,0.0,0.0,0,245.7,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,218,
19/04/2023  13:13:04,550.0,179.2,181.9,32.5,28.5,24.0,30.1,34.8,7.7,0.0,0.0,0.0,0,245.5,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,226,
19/04/2023  13:13:09,550.0,179.2,181.1,32.5,28.5,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,245.4,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,235,
19/04/2023  13:13:14,550.0,179.6,181.5,32.4,28.5,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,245.2,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,243,
19/04/2023  13:13:19,550.0,179.5,180.5,32.1,28.5,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,246.3,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,251,
19/04/2023  13:13:24,550.0,179.1,180.4,32.1,28.2,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,245.4,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,260,
19/04/2023  13:13:29,550.0,177.8,181.4,31.9,28.1,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,246.1,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,268,
19/04/2023  13:13:34,550.0,178.1,180.4,31.9,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.2,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,276,
19/04/2023  13:13:39,550.0,178.0,180.5,31.9,28.2,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.5,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,285,
19/04/2023  13:13:44,550.0,178.4,179.1,31.7,28.1,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.1,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,293,
19/04/2023  13:13:49,550.0,178.1,179.2,31.7,28.1,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.8,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,301,
19/04/2023  13:13:54,550.0,177.4,179.4,31.7,28.1,24.0,30.1,34.8,8.0,0.0,0.0,0.0,0,245.0,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,310,
19/04/2023  13:13:59,550.0,177.5,178.1,31.5,28.1,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.0,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,318,
19/04/2023  13:14:04,550.0,177.5,177.9,31.3,28.1,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,246.2,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,327,
19/04/2023  13:14:09,550.0,176.9,177.5,31.3,28.2,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.2,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,335,
19/04/2023  13:14:14,550.0,176.1,178.5,31.4,28.2,24.0,30.1,34.8,8.0,0.0,0.0,0.0,0,245.8,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,343,
19/04/2023  13:14:19,550.0,176.1,177.6,31.4,28.2,24.0,30.1,34.8,8.0,0.0,0.0,0.0,0,245.6,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,352,
19/04/2023  13:14:24,550.0,176.1,177.8,31.4,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.5,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,360,
19/04/2023  13:14:29,550.0,175.5,178.0,31.3,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.0,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,368,
19/04/2023  13:14:34,550.0,175.5,177.0,31.0,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.0,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,377,
19/04/2023  13:14:39,550.0,175.8,176.9,31.1,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.2,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,385,
19/04/2023  13:14:44,550.0,175.5,176.6,31.1,28.2,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.8,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,393,
19/04/2023  13:14:49,550.0,174.4,176.8,31.0,28.2,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.7,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,402,
19/04/2023  13:14:54,550.0,174.1,176.5,30.9,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.3,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,410,
19/04/2023  13:14:59,550.0,175.1,175.5,30.9,28.2,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.5,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,418,
19/04/2023  13:15:04,550.0,175.1,175.1,31.0,28.1,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,246.2,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,427,
19/04/2023  13:15:09,550.0,174.9,175.0,31.0,28.1,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.7,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,435,
19/04/2023  13:15:15,550.0,174.2,174.5,31.1,28.1,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.7,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,443,
19/04/2023  13:15:20,550.0,173.8,175.0,31.0,28.0,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,245.6,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,452,
19/04/2023  13:15:25,550.0,172.9,175.0,31.0,28.0,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.6,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,460,
19/04/2023  13:15:30,550.0,172.9,173.6,30.8,28.0,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.7,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,469,
19/04/2023  13:15:35,550.0,173.1,174.1,30.6,28.0,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.3,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,477,
19/04/2023  13:15:40,550.0,172.5,173.6,30.5,28.0,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.4,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,485,
19/04/2023  13:15:45,550.0,172.0,173.5,30.6,28.1,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.4,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,494,
19/04/2023  13:15:50,550.0,171.5,172.9,30.2,28.0,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.6,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,502,
19/04/2023  13:15:55,550.0,171.6,172.8,30.0,28.0,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.2,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,510,
19/04/2023  13:16:00,550.0,172.8,173.0,29.8,28.1,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.4,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,519,
19/04/2023  13:16:05,550.0,171.9,171.4,30.0,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,245.5,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,527,
19/04/2023  13:16:10,550.0,171.0,171.1,29.7,28.0,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,246.4,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,535,
19/04/2023  13:16:15,550.0,171.4,170.8,29.3,27.8,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,246.1,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,544,
19/04/2023  13:16:20,550.0,170.9,171.4,29.4,28.0,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.2,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,552,
