,Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH1 Dew Point,CH1 Heat Index,CH2 temperature,CH2 humidity,CH2 Dew Point,CH2 Heat Index,CH3 temperature,CH3 humidity,CH3 Dew Point,CH3 Heat Index,CH4 temperature,CH4 humidity,CH4 Dew Point,CH4 Heat Index,CH5 temperature,CH5 humidity,CH5 Dew Point,CH5 Heat Index,CH6 temperature,CH6 humidity,CH6 Dew Point,CH6 Heat Index,CH7 temperature,CH7 humidity,CH7 Dew Point,CH7 Heat Index,Last strike,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO CH1,CO Sensor battery CH1,PM2.5 CH1,PM10 CH1,PM sensor CH1 battery,PM sensor CH1 connect,PM 2.5 CH1 AQI,PM 10 CH1 AQI,PM2.5 CH2,PM10 CH2,PM sensor CH2 battery,PM sensor CH2 connect,PM 2.5 CH2 AQI,PM 10 CH2 AQI,PM2.5 CH3,PM10 CH3,PM sensor CH3 battery,PM sensor CH3 connect,PM 2.5 CH3 AQI,PM 10 CH3 AQI,PM2.5 CH4,PM10 CH4,PM sensor CH4 battery,PM sensor CH4 connect,PM 2.5 CH4 AQI,PM 10 CH4 AQI,HCHO,HCHO+VOC Sensor battery,CO₂,CO₂ Sensor Battery
11,"Wednesday, April 19, 2023 12:50 PM EDT",1020,1015,76.1,51,80.8,46,58.1,81.1,80.8,81.1,54,2.2,2.2,2.2,0,0,0,7,593.61,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Wednesday, April 19, 2023 12:55 PM EDT",1020,1015,76.5,51,81.3,45,58,81.4,81.3,81.4,102,2,2,2,0,0,0,8,738.18,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Wednesday, April 19, 2023 1:00 PM EDT",1020,1015,76.8,51,81.7,43,57,81.5,81.7,81.5,36,2.2,2.2,2.2,0,0,0,10,978.66,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Wednesday, April 19, 2023 1:05 PM EDT",1020,1015,76.3,50,79.7,48,58.3,80.4,79.7,80.4,42,3.1,3.1,3.6,0,0,0,8,741.19,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Wednesday, April 19, 2023 1:10 PM EDT",1020,1015,75.9,51,79.9,48,58.5,80.5,79.9,80.5,174,2,2,2,0,0,0,4,455.04,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Wednesday, April 19, 2023 1:15 PM EDT",1020,1015,76.1,50,79.7,49,58.9,80.5,79.7,80.5,42,2.7,2.7,2.7,0,0,0,5,460.02,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Wednesday, April 19, 2023 1:20 PM EDT",1020,1014,76.3,51,79.3,48,58,80.1,79.3,80.1,72,4.5,4.5,4.9,0,0,0,6,582.08,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Wednesday, April 19, 2023 1:25 PM EDT",1020,1015,76.5,51,79.7,47,57.7,80.3,79.7,80.3,24,3.6,3.6,3.8,0,0,0,6,612.65,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Wednesday, April 19, 2023 1:30 PM EDT",1020,1015,76.1,50,78.8,48,57.5,79.7,78.8,78.8,22,4.5,4.5,4.7,0,0,0,5,466.5,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Wednesday, April 19, 2023 1:35 PM EDT",1020,1015,75.7,50,79.2,47,57.2,79.9,79.2,79.9,43,3.8,3.8,4.3,0,0,0,6,534.04,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Wednesday, April 19, 2023 1:40 PM EDT",1020,1015,75.9,50,79.3,46,56.8,79.9,79.3,79.9,48,2.7,2.7,2.7,0,0,0,6,566.99,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Wednesday, April 19, 2023 1:45 PM EDT",1020,1015,76.1,50,79.7,45,56.5,80.1,79.7,80.1,36,3.1,3.1,3.1,0,0,0,9,804.94,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Wednesday, April 19, 2023 1:50 PM EDT",1020,1014,76.5,50,79.9,45,56.7,80.3,79.9,80.3,28,2.5,2.5,2.5,0,0,0,8,729.49,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Wednesday, April 19, 2023 1:55 PM EDT",1020,1014,76.5,49,80.4,44,56.5,80.6,80.4,80.6,138,6.5,6.5,6.7,0,0,0,8,683.59,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Wednesday, April 19, 2023 2:00 PM EDT",1020,1014,75.7,49,79.9,46,57.3,80.3,79.9,80.3,72,2,2,2,0,0,0,7,658.39,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
